team_class,game_pk,game_date,time,place,team_1_name,team_1_score,team_2_name,team_2_score
41,22391,2020-07-16,11:30,보은스포츠파크 야구장,홍익대,11,세경대,3
41,22522,2020-08-04,09:00,군산월명야구장,유원대,10,세경대,3
41,22432,2020-08-13,11:30,대구시민운동장 야구장,세경대,6,수성대,6
41,22436,2020-08-14,14:00,천안 독립야구장,한국골프대,2,세경대,9
41,23288,2020-10-26,11:30,횡성 베이스볼 테마파크 제1구장,여주대,7,세경대,2
41,22363,2020-07-01,14:00,군산월명야구장,호원대,0,세한대,1
41,22366,2020-07-02,14:00,군산월명야구장,세한대,1,원광대,8
41,22367,2020-07-08,09:00,군산월명야구장,한일장신대,12,세한대,6
41,22370,2020-07-09,09:00,군산월명야구장,송원대,11,세한대,9
41,22375,2020-07-10,14:00,군산월명야구장,한려대,4,세한대,13
41,22454,2020-07-30,14:00,함평 전남야구장,원광대,9,세한대,5
41,22455,2020-07-31,09:00,함평 전남야구장,세한대,3,한일장신대,10
41,22516,2020-08-04,09:00,함평 전남야구장,세한대,5,송원대,6
41,22521,2020-08-05,14:00,함평 전남야구장,세한대,12,한려대,2
41,22604,2020-08-13,14:00,함평 전남야구장,세한대,4,호원대,8
41,23290,2020-10-26,14:00,횡성 베이스볼 테마파크 제2구장,세한대,1,원광대,6
41,22362,2020-07-01,11:30,군산월명야구장,송원대,6,한려대,13
41,22365,2020-07-02,11:30,군산월명야구장,한일장신대,15,송원대,2
41,22369,2020-07-08,14:00,군산월명야구장,송원대,4,호원대,2
41,22373,2020-07-10,09:00,군산월명야구장,송원대,2,원광대,13
41,22401,2020-07-18,17:00,보은스포츠파크 야구장,송원대,4,제주관광대,6
41,22453,2020-07-30,11:30,함평 전남야구장,송원대,3,한일장신대,6
41,22457,2020-07-31,14:00,함평 전남야구장,호원대,6,송원대,3
41,22519,2020-08-05,09:00,함평 전남야구장,원광대,8,송원대,2
41,22450,2020-08-13,11:30,함평 전남야구장,한려대,1,송원대,10
41,22380,2020-07-08,09:00,보은스포츠파크 야구장,수성대,1,유원대,11
41,22398,2020-07-18,09:00,보은스포츠파크 야구장,인하대,17,수성대,4
41,22526,2020-08-05,11:30,군산월명야구장,수성대,6,한국골프대,3
41,22434,2020-08-14,09:00,천안 독립야구장,유원대,13,수성대,6
41,22531,2020-08-17,11:30,천안 독립야구장,한국골프대,3,수성대,6
41,22335,2020-07-01,11:30,원주 태장공원 야구장,중앙대,9,여주대,4
41,22344,2020-07-09,11:30,원주 태장공원 야구장,제주국제대,2,여주대,5
41,22348,2020-07-10,14:00,원주 태장공원 야구장,여주대,10,제주관광대,5
41,22423,2020-08-01,10:30,원주 태장공원 야구장,여주대,6,중앙대,8
